source_url,source_title,collection,source_kind,authors,years,entry_count
https://automata.exchange/25.16-normal-closure-equivalence-of-raag--and-counter-automata/,,Automata Exchange,original_collection,Leon Pernak,2025,1
https://automata.exchange/25.17-tree-automata-with-constraints-on-infinite-trees/,,Automata Exchange,original_collection,Leon Pernak,2025,1
https://automata.exchange/25.18-lower-bound-for-the-decision-of-guidability/,,Automata Exchange,original_collection,Olivier Idir,2025,1
https://automata.exchange/25.19-complete-techniques-for-deducing-fair-almost-sure-termination/,,Automata Exchange,original_collection,V.R. Sathiyanarayana,2025,1
https://automata.exchange/25.2-permissive-strategies-for-reachability-games/,,Automata Exchange,original_collection,B. Srivathsan,2025,1
https://automata.exchange/25.20-on-an-equivalence-between-finitely-many-tokens-and-one-invisible-token/,,Automata Exchange,original_collection,Aditya Prakash,2025,1
https://automata.exchange/25.21-simulation-decidability-in-gap-order-constraint-systems/,,Automata Exchange,original_collection,Isa Vialard,2025,1
https://automata.exchange/25.22-fine-grained-complexity-of-omega-automata-inclusion/,,Automata Exchange,original_collection,Antonio Casares,2025,1
https://automata.exchange/25.23-complexity-of-deciding-conjugacy-of-rational-relations/,,Automata Exchange,original_collection,Ismaël Jecker,2025,1
https://automata.exchange/25.24-classes-of-languages-with-objective-independent-memory/,,Automata Exchange,original_collection,Corto Mascle,2025,1
https://automata.exchange/25.25-do-probabilities-matter-for-resolving-nondeterminism-/,,Automata Exchange,original_collection,K. S. Thejaswini,2025,1
https://automata.exchange/25.26-memory-requirements-of-subgame-perfect-equilibria-in-reachability-games/,,Automata Exchange,original_collection,James C. A. Main,2025,1
https://automata.exchange/25.27-increasing-unbounded-simple-components/,,Automata Exchange,original_collection,Michal Ajdarow,2025,1
https://automata.exchange/25.28-a-streaming-machine-model-for-polyregular-functions/,,Automata Exchange,original_collection,S. Krishna,2025,1
https://automata.exchange/25.29-left-quotient-operator-on-regular-expressions/,,Automata Exchange,original_collection,Ekaterina Zhuchko,2025,1
https://automata.exchange/25.3-relative-degree-for-rational-series/,,Automata Exchange,original_collection,Lorenzo Clemente,2025,1
https://automata.exchange/25.4-efficient-lrs-evaluation/,,Automata Exchange,original_collection,Lorenzo Clemente,2025,1
https://automata.exchange/25.5-commutative-polynomial-automata-series/,,Automata Exchange,original_collection,Lorenzo Clemente,2025,1
https://automata.exchange/25.6-fine-grained-complexity-of-language-emptiness-for-deterministic-pda/,,Automata Exchange,original_collection,Neha Rino,2025,1
https://automata.exchange/25.7-strong-subgame-perfect-equilibria/,,Automata Exchange,original_collection,Satya Prakash Nayak,2025,1
https://automata.exchange/25.8-semilinearity-of-2-bvass-backward-reachability-set/,,Automata Exchange,original_collection,Biziere Clotilde,2025,1
https://automata.exchange/25.9-reachability-in-low-dimensional-vass/,,Automata Exchange,original_collection,Łukasz Orlikowski,2025,1
https://doi.org/10.4230/DagRep.1.2.30,Theory and Applications of Graph Searching Problems (GRASTA 2011),Dagstuhl Reports,original_collection,Dimitrios M. Thilikos,2011,10
https://doi.org/10.4230/DagRep.1.2.47,Combinatorial and Algorithmic Aspects of Sequence Processing,Dagstuhl Reports,original_collection,Gregory Kucherov,2011,4
https://doi.org/10.4230/DagRep.1.2.67,Packing and Scheduling Algorithms for Information and Communication Services,Dagstuhl Reports,original_collection,Monaldo Mastrolilli,2011,5
https://doi.org/10.4230/DagRep.1.5.29,Exploiting graph structure to cope with hard problems,Dagstuhl Reports,original_collection,Sang-il Oum,2011,11
https://doi.org/10.4230/DagRep.10.2.50,Scheduling,Dagstuhl Reports,original_collection,Yossi Azar,2020,1
https://doi.org/10.4230/DagRep.11.1.1,Scalable Data Structures,Dagstuhl Reports,original_collection,Guy Even,2021,3
https://doi.org/10.4230/DagRep.11.10.57,Unambiguity in Automata Theory,Dagstuhl Reports,original_collection,Michael Raskin,2021,10
https://doi.org/10.4230/DagRep.11.10.72,Descriptive Set Theory and Computable Topology,Dagstuhl Reports,original_collection,Iskander Shagitovich Kalimullin,2021,2
https://doi.org/10.4230/DagRep.11.3.16,"Temporal Graphs: Structure, Algorithms, Applications",Dagstuhl Reports,original_collection,Rémy Cazabet,2021,4
https://doi.org/10.4230/DagRep.11.4.1,Computational Geometry,Dagstuhl Reports,original_collection,Aleksandar Nikolov,2021,3
https://doi.org/10.4230/DagRep.11.6.82,Parameterized Complexity in Graph Drawing,Dagstuhl Reports,original_collection,Steven Chaplick,2021,1
https://doi.org/10.4230/DagRep.12.1.101,Finite and Algorithmic Model Theory,Dagstuhl Reports,original_collection,Albert Atserias,2022,2
https://doi.org/10.4230/DagRep.12.11.109,Vertex Partitioning in Graphs: From Structure to Algorithms,Dagstuhl Reports,original_collection,Daniel Paulusma,2022,4
https://doi.org/10.4230/DagRep.12.11.28,Computational Social Dynamics,Dagstuhl Reports,original_collection,Jörg Rothe,2022,5
https://doi.org/10.4230/DagRep.12.11.45,Dynamic Graph Algorithms,Dagstuhl Reports,original_collection,Richard Peng,2022,7
https://doi.org/10.4230/DagRep.12.2.17,Computation and Reconfiguration in Low-Dimensional Topological Spaces,Dagstuhl Reports,original_collection,Torsten Mütze,2022,4
https://doi.org/10.4230/DagRep.12.2.87,Theory of Randomized Optimization Heuristics,Dagstuhl Reports,original_collection,Nikolaus Hansen,2022,1
https://doi.org/10.4230/DagRep.12.7.180,Algorithmic Aspects of Information Theory,Dagstuhl Reports,original_collection,,2022,35
https://doi.org/10.4230/DagRep.13.2.183,Algorithmic Foundations of Programmable Matter,Dagstuhl Reports,original_collection,Yuval Emek,2023,6
https://doi.org/10.4230/DagRep.13.3.17,Computational Complexity of Discrete Problems,Dagstuhl Reports,original_collection,Yuval Filmus,2023,1
https://doi.org/10.4230/DagRep.13.3.49,"Pattern Avoidance, Statistical Mechanics and Computational Complexity",Dagstuhl Reports,original_collection,Natasha Blitvic,2023,2
https://doi.org/10.4230/DagRep.13.4.58,New Frontiers of Parameterized Complexity in Graph Drawing,Dagstuhl Reports,original_collection,Petr A. Golovach,2023,10
