Learning theory
TCS-0023 [index;landmark;uncertain] Learning growing-size DNFs under uniform inputs
TCS-2463 [index;source_question_passage;uncertain] On the complexity of finding stationary points of smooth functions in one dimension | We conclude with a number of open directions for future research. • The main question motivating this work remains open, namely, for randomized algorithms using […]
TCS-2500 [index;source_question_passage;uncertain] Optimal Prediction Using Expert Advice and Randomized Littlestone Dimension | However, the bound we obtain may likely be improvable, and generally we leave the question of obtaining a tightest possible adaptively-achievable mistake bound as an […]
TCS-2501 [index;source_question_passage;uncertain] Learning and Testing Latent-Tree Ising Models Efficiently | If we do not know the tree structure, we use the algorithm of Daskalakis et al. (2011) that, given approximations α̂ij of the correlations between […]
TCS-2504 [index;source_question_passage;uncertain] Sparse PCA Beyond Covariance Thresholding | In sparse PCA, since we do not know β exactly, it might not be easy to understand if the observed s was correct or not […]
TCS-2518 [index;source_question_passage;uncertain] Computing Paths of Large Rank in Planar Frameworks Deterministically | Such a generalization of our results does not seem to be trivial and therefore we leave this as an open research direction.
TCS-2521 [index;source_question_passage;uncertain] Tight Algorithmic Applications of Clique-Width Generalizations | For the other direction, the best upper bound we are aware of is fw ≤ 2mcw and we leave open whether this is tight.
TCS-2557 [index;source_question_passage;uncertain] Online Learning and Disambiguations of Partial Concept Classes | Does every 0 1 disambiguation H of H satisfy VC(H) = O(1)?
TCS-2573 [index;source_question_passage;uncertain] Extremal Combinatorics, Iterated Pigeonhole Arguments and Generalizations of PPP | What other natural problems belong to PLC or are PLC-complete?
TCS-2596 [index;source_question_passage;uncertain] Improved dimension dependence of a proximal algorithm for sampling | Is there any other RGO algorithm that has even better dimension dependence than Algorithm 2?
TCS-2618 [index;source_question_passage;uncertain] Private Online Prediction from Experts: Separations and Faster Rates | Despite of these similarities, our results do not establish a fundamental connection between privacy and switching constraints and we leave this as an open question […]
TCS-2619 [index;source_question_passage;uncertain] Learning Narrow One-Hidden-Layer ReLU Networks | Note that known CSQ hardness results rule out the possibility of improving to do(k) for our algorithm, but we leave as an interesting open question […]
TCS-2620 [index;source_question_passage;uncertain] Shortest Program Interpolation Learning | We do not know and leave it open whether the dependence on b in Theorems 2.2 and 2.3 is necessary, or whether different techniques and […]
TCS-2621 [index;source_question_passage;uncertain] Lower Bounds for the Convergence of Tensor Power Iteration on Random Overcomplete Models | Establishing a rigorous positive result for tensor power iteration in this regime is challenging, and we leave it as an interesting open question for future […]
TCS-2622 [index;source_question_passage;uncertain] On the Lower Bound of Minimizing Polyak-Łojasiewicz functions | We conjecture that our results can be extended to randomized algorithms, using the same technique in Nemirovskij and Yudin (1983) and explicit construction in Woodworth […]
TCS-2623 [index;source_question_passage;uncertain] Improved Discretization Analysis for Underdamped Langevin Monte Carlo | Our discretization analysis translates their result into an algorithmic guarantee, which indeed enjoys better condition number dependence than prior works on ULMC, although we leave […]
TCS-2629 [index;source_question_passage;uncertain] Comparative Learning: A Sample Complexity Theory for Two Hypothesis Classes | #CorM(S, B, β + 2η1 + 2η2 , δ) m 2 m 1 1 1 1 1 1 ≤O log + log + log log […]
