Learning theory
TCS-0023 [index;landmark;uncertain] Learning growing-size DNFs under uniform inputs
TCS-5546 [source;;uncertain] Near-Optimal Rates for O(1)-Smooth DP-SCO with a Single Epoch and Large Batches | Hence we believe this assumption is not required for Accelerated-DP-SRGD to achieve T = n1/4 , but we do not know how to formally show […]
TCS-5547 [source;;uncertain] Open Problem: Structure-Agnostic Minimax Risk for Partial Linear Model | This note claims that whether double machine learning is optimal for black-box machine learning models remains open, even for the simplest linear coefficient estimation in […]
TCS-5548 [source;;uncertain] Breaking O(nr) for Matroid Intersection | Since the exchange graph changes after each augmentation,5 and we do not know how to find a single augmenting path faster than Ω(n) queries, the […]
TCS-5549 [source;;source_open] Impossible Tuning Made Possible: A New Expert Algorithm and Its Applications | One caveat is that the trick we apply in Implications 2-4 of Section 2.1 (that mt can depend on `t even though it is unknown) […]
TCS-5583 [source;;source_open] Learning Arithmetic Formulas in the Presence of Noise: A General Framework and Applications to Unsupervised Learning | Our work as well as that of [3] leave open the problem of doing a smoothed analysis of the corresponding algorithm for mixtures of zero-mean […]
TCS-5584 [source;;source_open] Random Separating Hyperplane Theorem and Learning Polytopes | For rest of the section, we address the following question: given the set W , and parameters ε, δ, is there a (ε, δ)-ENV(W ), […]
TCS-5585 [source;;source_open] Optimistic Information Directed Sampling | We presume that our approach can be generalized beyond such sub-Bernoulli and sub-Gaussian losses to more general sub-exponential-family losses, but we leave the investigation of […]
TCS-5607 [source;;source_open] Computational Limitations in Robust Classification and Win-Win Results | Indeed, for the Blum-Blum-Shub trapdoor PRG (and related constructions such as the one of Micali and Schnorr (Micali and Schnorr, 1991)) considered in BLPR, the […]
TCS-5608 [source;;uncertain] Geodesically convex $M$-estimation in metric spaces | As we pointed out in the previous section, we do not know whether this lemma still holds true in more general proper geodesic spaces and […]
TCS-5609 [source;;uncertain] On Classification-Calibration of Gamma-Phi Losses | While the binary savage loss is classification-calibrated (Masnadi-Shirazi and Vasconcelos, 2008), to the best of our knowledge it is unknown whether the multiclass savage loss […]
TCS-5610 [source;;uncertain] Near-optimal fitting of ellipsoids to random points | To the best of our knowledge, it is an open question to find a faster algorithm achieving the conjectured threshold n ∼ d2 /4, even […]
TCS-5654 [source;;uncertain] Tight Algorithmic Applications of Clique-Width Generalizations | For the following three problems we obtain similar tight bounds relative to fusion-width as for clique-width, but it remains open whether the same is true […]
TCS-5655 [source;;uncertain] Lower Bounds on the Total Variation Distance Between Mixtures of Two Gaussians | We do not know if this is an inherent limitation of either of the bounds, and it may be possible to extend our results to […]
TCS-5656 [source;;uncertain] A Homological Theory of Functions: Nonuniform Boolean Complexity Separation and VC Dimension Bound Via Algebraic Topology, and a Homological Farkas Lemma | It is unknown whether the “largeness” condition is also violated, but, for any fixed dimension r, we conjecture that the probability a random total function […]
TCS-5657 [source;;source_open] Non-Convex Matrix Completion Against a Semi-Random Adversary | Unfortunately, we do not know whether Assumption A2 in (Bhojanapalli and Jain, 2014) is true even for random matrices, and we cannot guarantee Assumption A3 […]
TCS-5688 [source;;source_open] A Variant of the VC-Dimension with Applications to Depth-3 Circuits | Can we obtain better Sauer– n Shelah lemmas for k-CNFs, i.e., given d, k, n what is the largest size of a set S ⊆ […]
TCS-5710 [source;;uncertain] When can we rank well from comparisons of O(n\log(n)) non-actively chosen pairs? | It remains an open question to design algorithms that directly estimate a good ranking from comparisons of O(n log n) pairs under the types of […]
TCS-5743 [source;;uncertain] Minimax Fixed-Design Linear Regression | The condition appears to be restrictive: it is satisfied if the covariates are approximately orthonormal, which essentially corresponds to playing d interleaved independent one-dimensional regression […]
TCS-5744 [source;;uncertain] Achieving the Bayes Error Rate in Stochastic Block Model by SDP, Robustly | As it is a priori unknown what Y b should look like, we do not know which matrix to certify and how to construct its […]
TCS-5840 [source;;uncertain] Improved rates for prediction and identification of partially observed linear dynamical systems | Note that our rates still a square-root dependence on the memory L; and leave it an open question whether one can obtain logarithmic dependence similar […]
TCS-5886 [source;;uncertain] Exact Recovery of Sparsely-Used Dictionaries | While we do not know A or X and so cannot directly solve problem (2), it is equivalent to problem (1): (1) recovers a row […]
TCS-6067 [source;;source_open] Collaborative Filtering with the Trace Norm: Learning, Bounding, and Transducing | Although this factor does appear in a different term in the overall sample complexity bound (Thm. 5), we do not know if this dependence is […]
TCS-6305 [source;;source_open] Towards an Atlas of Computational Learning Theory | Furthermore, this approach points out gaps in our knowledge about learning criteria and thus focuses research efforts: maps which leave open problems are typically of […]
