TCS-0008	Linear Programming: Strongly Polynomial?	The Open Problems Project
TCS-1844	Is there a Õ(W nω )-time algorithm for Shortest Disjoint S-Paths?	Faster Algorithms on Linear Delta-Matroids
TCS-1884	While our upper and lower bounds match to within at most logarithmic factors under mild conditions, we leave it open as to (i) whether the […]	Quantile Multi-Armed Bandits with 1-bit Feedback
TCS-1887	Although tight lower bounds have been proved for first-order minimax optimization (Ouyang and Xu, 2021; Xie et al., 2020; Zhang et al., 2022; Li et […]	Solving Convex-Concave Problems with $\mathcal{O}(\epsilon^{-4/7})$ Second-Order Oracle Complexity
TCS-1891	Of course, it is possible that there is a method for computing the optimal regularizer that sidesteps the need to be able to verify the […]	Computing Optimal Regularizers for Online Linear Optimization
TCS-1892	Third, it remains an open question whether one can design an objective that is amenable to optimization while matching the statistical rate of our offline […]	Improved Offline Contextual Bandits with Second-Order Bounds: Betting and Freezing
TCS-1919	This opens the interesting question of their tractability: under suitable assumptions, is the ll-FBA with enzyme constraints hard?	Mixed-Integer Optimization for Loopless Flux Distributions in Metabolic Networks
TCS-2013	Fully PTAS on broader matroid classes, such as graphical matroids or linear matroids, remains open.	Lower Bounds for Matroid Optimization Problems with a Linear Constraint
TCS-2025	Does there exist O(1)-RoE algorithm still?	Online Multi-Level Aggregation with Delays and Stochastic Arrivals
TCS-2032	We conjecture that there exists a polynomial-time deterministic strategy achieving constant competitive ratio on graphs with edge (s, t)-cuts of bounded size.	The Canadian Traveller Problem on Outerplanar Graphs
TCS-2048	It is conceivable that o 1ε -competitive algorithms are possible for m ≥ 2 identical machines, which we leave as an interesting open problem.	O(1/ε) Is the Answer in Online Weighted Throughput Maximization
TCS-2052	But we do not know if the table size during the dynamic program on the treedepth decomposition permits an improved run time analysis.	Solving a Family Of Multivariate Optimization and Decision Problems on Classes of Bounded Expansion
TCS-2066	However, it remains open to establish the necessity of the horizon factors.	Mitigating Covariate Shift in Misspecified Regression with Applications to Reinforcement Learning
TCS-2074	We leave it as an open problem to investigate whether or not a large stepsize benefits SGD.	Large Stepsize Gradient Descent for Logistic Loss: Non-Monotonicity of the Loss Improves Optimization Efficiency
TCS-2086	We do not know any non-trivial bounds on the competitive ratio of WkS-SPC and it is not even clear whether it is easier or harder […]	A Decomposition Approach to the Weighted k-Server Problem
TCS-2087	If there is an instance that is non-strictly competitive for Single Piece Lineclear Maximization even if the online player is granted some lookahead remains an […]	Tetris Is Not Competitive
TCS-2099	A minor optimisation is to leave their assignments open, and only fix them once we see a resolution step where the other premise has a […]	Strategy Extraction by Interpolation
TCS-2100	It should be noted that whether generalized self-concordance holds for the logarithm of the trace inverse (potentially limited to a subset of its domain) is […]	Solving the Optimal Experiment Design Problem with Mixed-Integer Convex Methods
TCS-2114	Since the ADEC is a lower bound on the DEC under a special choice of nominal model, we conjecture that it can also be used […]	Optimistic Information Directed Sampling
TCS-2120	What is the best guarantee for the online sorting cost in this case?	Online Sorting and Online TSP: Randomized, Stochastic, and High-Dimensional
TCS-2128	We leave open whether our lower bound extends to (non-hereditary) edge discrepancy as well, and to vertex or edge discrepancy of planar graphs.	The Discrepancy of Shortest Paths
TCS-2146	In light of these observations, we conjecture that our bounds are optimal in terms of T under the set of assumptions we make.	Adversarial Contextual Bandits Go Kernelized
TCS-2165	Can they be used profitably in SubModST?	SubModST: A Fast Generic Solver for Submodular Maximization with Size Constraints
TCS-2267	We note that our algorithm Icb has non-polynomial running time; we conjecture that without resource augmentation, achieving a subquadratic competitive ratio in polynomial time is […]	A Subquadratic Bound for Online Bisection
TCS-2273	We also note that our negative result leaves open the NSRL problem in the case of function approximation (Jin et al., 2020; Agarwal et al., […]	The complexity of non-stationary reinforcement learning
TCS-2336	Is it true that, for any concept class H, the optimal regret is Θ L(H)T ?	Multiclass Online Learning and Uniform Convergence
TCS-2338	Is it possible to efficiently (in poly(K, C) time) evaluate the maximum entropy ̃ for the problem of Bayesian swap regret?	Pseudonorm Approachability and Applications to Regret Minimization
TCS-2362	For deterministic All-or-One Paging, we conjecture that the optimal ratio is 2k − 1. (For k = 2 we can show an upper bound of […]	Online Paging with Heterogeneous Cache Slots
TCS-2396	We do not know how to evaluate them as we do not have closed-form solution of the value function.	Reinforcement Planning for Effective ε-Optimal Policies in Dense Time with Discontinuities
TCS-2456	Does the result also hold true for H = poly(d)?	Exponential Hardness of Reinforcement Learning with Linear Function Approximation
TCS-2460	We conjecture that bounds of order C(π ∗ ; πB )n are indeed on the regret frontier.	Online Learning with Off-Policy Feedback
TCS-2473	First, while we have some indication that it is hard to obtain algorithms with a competitive ratio better than Θ( n1 ), we leave open […]	Online Coalition Formation Under Random Arrival or Coalition Dissolution
TCS-2503	However, using the bootstrap for inference raises other practical difficulties: it is an open question how to choose m for good performance, and convergence is […]	Asymptotic confidence sets for random linear programs
TCS-2544	Can we obtain a ratio strictly larger than 0.745 also for non-i.i.d. threshold testing?	Threshold Testing and Semi-Online Prophet Inequalities
TCS-2549	Is the Rent Minimization problem strictly harder than the Machine Minimization problem?	Improved Algorithms for Online Rent Minimization Problem Under Unit-Size Jobs
TCS-2570	On the negative side: can we prove a lower bound against the following class of partition-based algorithms?	Matroid Partition Property and the Secretary Problem
TCS-2575	What is the product dimension of Q(p, pp )?	An Improved Lower Bound for Matroid Intersection Prophet Inequalities
TCS-2595	In a general fixed budget identification task de- ⋆ scribed by (D, I, i ), two related questions remain open:	On the Existence of a Complexity in Fixed Budget Bandit Identification
TCS-2612	However, we conjecture that the policy that simply plays the top two arms according to mit also has constant regret, and we leave showing this […]	Online Learning and Bandits with Queried Hints
TCS-2729	Whether the same is achievable under the independence oracle model remains open.	Subquadratic Weighted Matroid Intersection Under Rank Oracles
TCS-2737	We conjecture that at level n the hierarchy would have exact completeness.	A Complete Linear Programming Hierarchy for Linear Codes
TCS-2751	It also remains open to find tight bounds for the case where the direction of movement of the target is unknown.	Line Search for an Oblivious Moving Target
TCS-2787	There is still a gap of 2 comparing to the variant with linear target function and we leave it as an open problem to close […]	Correlated Stochastic Knapsack with a Submodular Objective
TCS-2812	Ordinal algorithms for secretary problems were explored by [11, 17], though whether the ordinal matroid secretary problem is fundamentally more difficult than its classical (cardinal) […]	Matroid Secretary Is Equivalent to Contention Resolution
TCS-2830	Other questions At the moment we do not know how to obtain high probability bounds in terms of the information ratio, which would be at […]	Minimax Regret for Partial Monitoring: Infinite Outcomes and Rustichini’s Regret
TCS-2831	The more general problem of adaptive switching regret (Foster et al., 2020), where one aims to compete against any sequence of arms (as opposed to […]	Tracking Most Significant Arm Switches in Bandits
TCS-2856	For example, observe that our dynamic regret algorithm requires O(d log(T )) time and space: can this be improved?	Parameter-free Mirror Descent
TCS-2857	It remains an open problem whether this polynomial dimension dependency in regret can be achieved via TS in general LQRs.	Thompson Sampling Achieves $\tilde{O}(\sqrt{T})$ Regret in Linear Quadratic Control
TCS-2858	Though we give near-optimal rates for solving a class of smooth strongly-convex optimization problems, our work still leaves a number of open directions.	Big-Step-Little-Step: Efficient Gradient Methods for Objectives with Multiple Scales
TCS-2859	If we assume the matrix Spencer conjecture and the generalized Lax conjecture, can we prove the hyperbolic Spencer conjecture?	Hyperbolic Concentration, Anti-Concentration, and Discrepancy
TCS-2862	Can we surpass 1 − 1/e in the probing setting for i.d. input arrivals or for the special case of i.i.d. input arrivals?	Prophet Matching in the Probe-Commit Model
TCS-2892	Is the contraction-depth of M at most d?	Characterization of Matrices with Bounded Graver Bases and Depth Parameters and Applications to Integer Programming
TCS-2967	We leave as an open problem if the techniques introduced in this work can be used to prove an exponential lower bound for L INEAR […]	Computational-Statistical Gap in Reinforcement Learning
TCS-3002	Are there infinite families of circuits with only balanced combinatorial resultant trees?	Combinatorial Resultants in the Algebraic Rigidity Matroid
TCS-3005	Construct a probability assignment q for the VC hypothesis class that achieves O(d log n) regret.	Sequential prediction under log-loss with side information
TCS-3118	Also, note that the last step uses only the first item of Lemma 22 –thus it is only an implication– because we do not know […]	From Farkas' Lemma to Linear Programming: an Exercise in Diagrammatic Algebra ((Co)algebraic pearls)
TCS-3122	It remains open to determine the competitive ratio of BestVC for the general (hyper)graph orientation problem, and to investigate how the algorithm behaves if it […]	Orienting (Hyper)graphs Under Explorable Stochastic Uncertainty
TCS-3142	Nevertheless we leave it as an open problem if there is some first-order optimization method that achieves rate of 𝑇 = 𝑂 (1/ε2 ) (see […]	SGD Generalizes Better Than GD (And Regularization Doesn’t Help)
TCS-3147	A general question that we leave open is whether it is possible to get a bound for adversarial losses that does not depend on the […]	Robust Online Convex Optimization in the Presence of Outliers
TCS-3174	That is, what competitive ratio can be achieved without the rankable assumption?	Secretary Matching Meets Probing with Commitment
TCS-3202	What is the best achievable competitive ratio?	The Greedy Algorithm Is not Optimal for On-Line Edge Coloring
TCS-3230	For example, can we recover acceleration in settings such as finite-sum convex optimization (i.e. for stochastic gradient methods) [3] or composite optimization [7]?	Relative Lipschitzness in Extragradient Methods and a Direct Recipe for Acceleration
TCS-3239	What are the main structural obstacles in graphs that prohibit online algorithms with small competitive ratios?	Online Domination: The Value of Getting to Know All Your Neighbors
TCS-3314	For example, is it possible to obtain a finite competitive ratio for chasing 3 arbitrary sets on the real line?	Parametrized Metrical Task Systems
TCS-3360	We conjecture that the actual competitive ratio of nn is actually much closer to the lower bound we proved, which is 7.61.	The Online Broadcast Range-Assignment Problem
TCS-3363	We leave open the question of the complexity of testing whether a given function is instance optimizable.	Instance Complexity and Unlabeled Certificates in the Decision Tree Model
TCS-3387	We conjecture that O(log n) regret bounds are not possible for the reparameterized version of the expert algorithm when the loss components are log losses.	Winnowing with Gradient Descent
TCS-3392	Further, it remains open whether constant recourse per request is sufficient for maintaining an O(1)-competitive matching on the line, as for the case of alternating […]	Online Minimum Cost Matching with Recourse on the Line
TCS-3398	It remains open whether the problem, where m is not part of the input, admits an online algorithm with a better competitive ratio P as […]	Optimally Handling Commitment Issues in Online Throughput Maximization
TCS-3404	On the one hand, we do not know if the discrepancy bound given by Corollary 3 is the truth, and on the other hand, we […]	A Spectral Bound on Hypergraph Discrepancy
TCS-3426	The LRS model will drop one of the b1 runs, even though it would be better to leave the order of B1 and B2 open […]	The Longest Run Subsequence Problem
TCS-3431	We conjecture that the regret bound in the stochastically constrained adversarial regime can be improved further and that the dependence on ∆K min can be […]	Tsallis-INF for Decoupled Exploration and Exploitation in Multi-armed Bandits
TCS-3443	Our work leaves open a clear direction for future work: what is the maximum possible Global Cut Dimension for an undirected graph?	New Query Lower Bounds for Submodular Function Minimization
TCS-3452	We conjecture that it may be possible to overcome this limitation by designing slightly more sophisticated algorithms that estimate this distribution from data.	Efficient and robust algorithms for adversarial linear contextual bandits
TCS-3486	For instance, for d = 2, is there a 2-competitive algorithm?	Online Two-Dimensional Load Balancing
TCS-3488	Can Theorem 4.1 be made computationally efficient?	The Outer Limits of Contention Resolution on Matroids and Connections to the Secretary Problem
TCS-3491	A natural question arises: can we obtain constant competitive algorithms for weighted paging with fewer predictions?	Online Algorithms for Weighted Paging with Predictions
TCS-3492	For example, what regimes of parameter allow constant-competitive or (1 − ε)-competitive algorithms?	Knapsack Secretary with Bursty Adversary
TCS-3505	Is there a 2k + 1-competitive deterministic algorithm for the k-server problem with delays on any finite metric space?	The k-Server Problem with Delays on the Uniform Metric Space
TCS-3511	Can we get a constant-competitive algorithm for the single-item case?	Robust Algorithms for the Secretary Problem
TCS-3522	Are there any other neighborhoods that outperform the Axes one?	Crystal Structure Prediction via Oblivious Local Search
TCS-3562	In this case, we conjecture that the optimal regret rate would scale with the dominating number δG of the graph, which is always smaller or […]	Cooperative Online Learning: Keeping your Neighbors Updated
TCS-3565	Assumption 2 is standard in the literature on second-order optimization, both in the minimax setting (see, e.g., (Abernethy et al., 2019, Definition 2.5)) and in […]	Last Iterate is Slower than Averaged Iterate in Smooth Convex-Concave Saddle Point Problems
TCS-3575	Can we achieve a polynomial time algorithm for arbitrary small constant ε > 0 if the graph is planar or come from some other class […]	Submodular Clustering in Low Dimensions
TCS-3603	The existence of an algorithm that yields a constant ratio for such instances remains open.	Generalized Assignment via Submodular Optimization with Reserved Capacity
TCS-3621	We leave it as an open problem whether the rounding can also be extended to multiple knapsack constraints.	A Nearly-Linear Time Algorithm for Submodular Maximization with a Knapsack Constraint
TCS-3630	Finally, we leave as open one more “hard constraint” challenge that arises even in the simple context of random 3XOR or 3SAT.	SOS Lower Bounds with Hard Constraints: Think Global, Act Local
TCS-3638	6 Final Comments Establishing the optimal competitive ratio for line chasing with memory remains an open problem.	Better Bounds for Online Line Chasing
TCS-3660	However, whether it is possible to weaken the assumptions of HOO in the same way as HCT while keeping similar regret guarantees remains open.	General parallel optimization a without metric
TCS-3662	We conjecture that in the low-dimensional setting of both (weakly-)smooth d and nonsmooth optimization the correct answer should be Ω( ln(K/γ) ln(1/ε)).	Lower Bounds for Parallel and Randomized Convex Optimization
TCS-3663	However, previous analyses leave open the possibility that the convergence time increases exponentially with the parameter β, which seems counterintuitive.	On the Performance of Thompson Sampling on Logistic Bandits
TCS-3664	It remains open whether smoothness is needed in two dimensions or more.	The Complexity of Making the Gradient Small in Stochastic Convex Optimization
TCS-3690	Regarding the adversarial bandit setting, it remains an open problem to construct an algorithm with optimal regret bounds without a priori tuning in respect to […]	Adaptively Tracking the Best Bandit Arm with an Unknown Number of Distribution Changes
TCS-3706	The cases n = 2, 3 as well as the case n = 1, which is not addressed in this work, remain open.	Lower Bounds for Shoreline Searching With 2 or More Robots
TCS-3775	For instance, are diamond-cactus subgraphs captured by matroid parity?	A Tight Extremal Bound on the Lovász Cactus Number in Planar Graphs
TCS-3815	For example, which problems can be solved optimally or almost optimally without knowledge of the amount of resources available in the future (as in the […]	Paging with Dynamic Memory Capacity
TCS-3824	Is 2 this running time optimal or could the 2O(k log k) factor be improved?	Tight Complexity Lower Bounds for Integer Linear Programming with Few Constraints
TCS-3878	We conjecture that there is a randomized algorithm for convex-MPMD with competitive ratio O(log k) but no such algorithm with competitive ratio O(1).	Impatient Online Matching
TCS-3893	Are we able to (efficiently) recognize that a DW reformulation is minimal once we have optimally solved it?	A Computational Investigation on the Strength of Dantzig-Wolfe Reformulations
TCS-3907	We leave the question of getting such a bound, without at being the smallest loss, as an open problem.	Bandit Regret Scaling with the Effective Loss Range
TCS-3933	Open Problems and Future Directions One main question that we leave open is the dependence of the regret on problem parameters such as the number […]	A General Approach to Multi-Armed Bandits Under Risk Criteria
TCS-4050	At this point, we leave open the kind of knowledge the policy has about the noise function ρ; one can think of different settings, where […]	Information Directed Sampling and Bandits with Heteroscedastic Noise
TCS-4054	For instance, is it possible to solve (IP) in time (m · n · ∆)o(m) · (kbk∞ )O(1) , or (m · n · ∆ […]	On the Optimality of Pseudo-polynomial Algorithms for Integer Programming
TCS-4076	We leave open the question of whether MLP gates (of any type) can polynomially simulate monotone real circuits. n I Theorem 19.	Representations of Monotone Boolean Functions by Linear Programs
TCS-4094	It remains an open problem to close the gap between the lower bound of 3 and the upper bound of 3.5 for D = 4.	The Infinite Server Problem
TCS-4106	From a broader perspective, as pointed out in the introduction, a full characterization of the meta-algorithm behind the Physarum dynamics remains open.	On the Convergence Time of a Natural Dynamics for Linear Programming
TCS-4132	However, quantifying the rate of regret in the important case of full permutations ? (i.e., with k “ n) remains an open problem.	Tight Bounds for Bandit Combinatorial Optimization
TCS-4152	However, the best-known lower bound is Ω(ne ) [32], which is still far from the upper bound, and closing the gap is an open problem […]	k-Regret Minimizing Set: Efficient Algorithms and Hardness
TCS-4163	The quantification of the mean-square convergence rates of the so-called randomly-permuted ADMM with multiple blocks (Sun et al., 2015) remains an open topic. IQCs have […]	A Unified Analysis of Stochastic Optimization Methods Using Jump System Theory and Quadratic Constraints
