TCS-6446	Quantum PCP: a constant promise gap for local Hamiltonians	The Quantum PCP Conjecture
TCS-1950	Establish a quantum information-theoretic characterization of the performance in learning quantum-to-quantum channels in a query input model.	Information-theoretic generalization bounds for learning from quantum data
TCS-1955	Then we ask, is W≥t [F ] ∈ O(exp(−t))?	Parity vs. AC0 with Simple Quantum Preprocessing
TCS-1961	Are OWSGs and EFI pairs (or PRSGs) equivalent?	One-Wayness in Quantum Cryptography
TCS-1977	The question of the minimality in the context of quantum circuits with qubit initialisation, ancillae, and/or qubit discarding remains open.	Quantum Circuit Completeness: Extensions and Simplifications
TCS-1983	Can we improve the logarithmic factors in the sample complexity of the samplizer given in Theorem 4?	Time-Efficient Quantum Entropy Estimator via Samplizer
TCS-2029	In the other direction, we leave open whether FBPP ⊂ FBPPnegl or whether the two classes are incomparable.	A Qubit, a Coin, and an Advice String Walk into a Relational Problem
TCS-2057	We leave optimality of the quantum algorithm for testing clusterability as an open question.	(Quantum) Complexity of Testing Signed Graph Clusterability
TCS-2094	We conjecture that the correct rate of decay in Theorem 1 is exponential in the message length, as suggested by the results we obtain in […]	Noisy Decoding by Shallow Circuits with Parities: Classical and Quantum (Extended Abstract)
TCS-2135	This is mostly complete, though it remains open what can be said for the HW basis when K is composite.	Quantum and Classical Low-Degree Learning via a Dimension-Free Remez Inequality
TCS-2200	Does the optimal such relation (i.e. one precisely describing the feasible space) arise at a constant level k (with respect to d)?	An Improved Quantum Max Cut Approximation via Maximum Matching
TCS-2204	How does k-stabilizer universality evolve when considering quantum communication networks where each party holds more than one qubit?	Vertex-Minor Universal Graphs for Generating Entangled Quantum Subsystems
TCS-2221	Do other families of quantum states achieve tightly tuned pseudoentanglement across any cut?	Quantum Pseudoentanglement
TCS-2229	What is the relationship of QMA and QMA(2)?	Quantum Merlin-Arthur and Proofs Without Relative Phase
TCS-2290	Could it be more appropriate to make a distinction on logical qudits of each dimension D, between a “standard” type and a “Fourier” type (possibly […]	Simple Qudit ZX and ZH Calculi, via Integrals
TCS-2349	Is there a poly(k)-query algorithm for property testing stabilizer-extent-k states?	Low-Stabilizer-Complexity Quantum States Are Not Pseudorandom
TCS-2385	We leave it as an open problem to give a single algorithm that is optimal for all δ.	(No) Quantum Space-Time Tradeoff for USTCON
TCS-2398	We also leave open the optimal communication complexity of equality with small error in the entanglement-assisted setting.	Tight Bounds for the Randomized and Quantum Communication Complexities of Equality with Small Error
TCS-2404	Can we speed up some other methods for (smooth) convex optimization?	Quantum Algorithms and Lower Bounds for Linear Regression with Norm Constraints
TCS-2408	For instance, would it be possible to perform an RSP-like protocol assuming only the existence of quantum-secure one-way functions?	Quantum Cryptography with Classical Communication: Parallel Remote State Preparation for Copy-Protection, Verification, and More
TCS-2426	Next, can an analogue of Lemma 38 be shown without assuming the structure on H guaranteed by the Embedding Lemma?	Quantum Space, Ground Space Traversal, and How to Embed Multi-Prover Interactive Proofs into Unentanglement
TCS-2450	We leave as an open question whether known classical lower bounds [1, 26] can be adapted to policy gradient evaluation.	Quantum Policy Gradient Algorithms
TCS-2451	It is worth mentioning that it is unknown whether the adaptive postselection can be efficiently done in PostBQP as discussed in [2].	Rewindable Quantum Computation and Its Equivalence to Cloning and Adaptive Postselection
TCS-2481	We suspect that Q(MODn ) = Θ(n3/2 ), but we leave open the problem of closing the gap between the upper and lower bounds in […]	Randomized and Quantum Query Complexities of Finding a King in a Tournament
TCS-2482	We conjecture that a GQBP of length t = Ω(n) and width w = O(poly(n)) is strictly stronger than an AQBP of similar length and […]	A Generalized Quantum Branching Program
TCS-2505	We leave it open whether the completeness-soundness gap in this lower bound can be improved to an inverse polynomial.	A Distribution Testing Oracle Separating QMA and QCMA
