TCS-2672	However, the question raised by Kopczyński in [18] remains open: are there prefix-independent winning conditions that are half-positional when restricted to ε-free games, but not […]	On the Minimisation of Transition-Based Rabin Automata and the Chromatic Memory Requirements of Muller Conditions
TCS-2705	Here, it remains open, whether the latency can be further reduced, maybe even to a constant.	Low-Latency Sliding Window Algorithms for Formal Languages
TCS-2755	In Tile Automata without cooperative binding, is it possible to optimally construct k × n thin rectangles?	Building Squares with Optimal State Complexity in Restricted Active Self-Assembly
TCS-2758	We leave open whether Theorem 2.1 still holds over a binary alphabet.	Existential Definability over the Subword Ordering
TCS-2792	Also, we leave open the complexity of the decision problems in case the semilinear sets are not given by their generators, but by a Presburger […]	Parikh Automata over Infinite Words
TCS-2795	We conjecture that the new techniques introduced here (especially the induction techniques), and the concepts of productions on words and forests, give an interesting toolbox […]	Hiding Pebbles When the Output Alphabet Is Unary
TCS-2820	We do not know whether the product with the minimal-state automaton is necessary in general in order to play optimally in two-player arenas (although it […]	Characterizing Omega-Regularity Through Finite-Memory Determinacy of Games on Infinite Graphs
TCS-2842	This language is challenging, as it is still an open question to know if it is context-free.	New Analytic Techniques for Proving the Inherent Ambiguity of Context-Free Languages
TCS-2843	While this is currently unknown, we conjecture that this is a tight upper bound.	A Generic Polynomial Time Approach to Separation by First-Order Logic Without Quantifier Alternation
TCS-2851	We conjecture that the techniques introduced in this paper can be extended to show that any continuous regular function is deterministic regular.	Continuous Rational Functions Are Deterministic Regular
TCS-2887	Notice that the corresponding basic decision problem (given a DFA A and an integer k, is there a synchronizing word of length at most k?	The Synchronization Game on Subclasses of Automata
TCS-2922	Is active learning in polynomial time possible if the stack content can be only copied between runs?	Learning Deterministic Visibly Pushdown Automata Under Accessible Stack
TCS-3009	Is there a limit to the number of beneficial loops we can use to ensure prefixes of C are uniquely accepted?	Normal Sequences with Non-Maximal Automatic Complexity
TCS-3018	How do the insights obtained by our results translate to the general setting?	Decomposing Permutation Automata
TCS-3043	In general, given any transducer T , we do not know if it is decidable whether T has property P.	Synthesizing Computable Functions from Rational Specifications over Infinite Words
TCS-3050	We leave open the study of the complexity of the infix problem.	Dynamic Membership for Regular Languages
TCS-3051	If A is a minimal deterministic Muller (resp.	Optimal Transformations of Games and Automata Using Muller Conditions
TCS-3077	For an n-state automaton, a tight upper bound on 2-avoiding threshold is O(n2 ).	Lower Bounds on Avoiding Thresholds
TCS-3078	We conjecture that EK is not included in BAK, but we do not have a proof.	Keyboards as a New Model of Computation
TCS-3085	We leave it as an open question whether the same can be achieved though a relative gauge extension.	Universal Gauge-Invariant Cellular Automata
