TCS-0023	Learning growing-size DNFs under uniform inputs	Mathematics and Computation (2018 draft)
TCS-1765	We conjecture that this result can be extended to infinite domains X , perhaps via topological arguments.	Proper Learnability and the Role of Unlabeled Data
TCS-1767	Whether our theoretical guarantees extend to these settings remains open and an important direction for future work.	Spike-and-Slab Posterior Sampling in High Dimensions
TCS-1774	Is there a way to eliminate the additional α in the sample complexity?	Near-Optimal Averaging Samplers and Matrix Samplers
TCS-1862	Can the analysis be improved for some of those algorithms?	Boosting, Voting Classifiers and Randomized Sample Compression Schemes
TCS-1885	We note however that there is still a small polynomial gap between our sample complexity lower bounds to the known (nearly tight) bounds for generic […]	The Dimension Strikes Back with Gradients: Generalization of Gradient Methods in Stochastic Convex Optimization
TCS-1889	Bakshi et al. (2022), do not need to assume a condition number or radius bound like in Theorem 1, and we leave as an important […]	Learning general Gaussian mixtures with efficient score matching
TCS-1890	While there are no clear ways of doing this, it can be a viable prospect of attack on these conjectures, and might be of independent […]	Spherical Dimension
TCS-1920	We conjecture that our principal results extend to this generalization as well, given a suitable range counting	Evolving Distributions Under Local Motion
TCS-1941	For some fixed d ∈ N and ∀n ∈ N, does there exist a concept class Hdn over some instance space X in the binary […]	The Dimension of Self-Directed Learning
TCS-1942	Is it true that for every d ∈ N there exists an extremal class C with vc(C) = d and vc⋆ (C) = 2d + […]	Dual VC Dimension Obstructs Sample Compression by Embeddings
TCS-1943	What is the minimal C > 0 such that for all d there exists an online learning algorithm in the model with consistent oracle, making […]	Simple online learning with consistent oracle
TCS-2064	We do not know whether a dimension free bound can be achieved in CAT(κ) spaces for κ > 0.	Concentration of empirical barycenters in metric spaces
TCS-2065	Fix a function class F ⊆ {0, 1}X with VC dimension d.	Majority-of-Three: The Simplest Optimal Learner?
TCS-2068	It remains an open problem to find the strongest model of editing to which undetectable watermarks can be robust.	Undetectable Watermarks for Language Models
TCS-2070	There exists a constant γ such that for any temporal feedback graph S, UB(S)/ILB(S) ≤ γ.	Adversarial Online Learning with Temporal Feedback Graphs
TCS-2071	However, we do not know if such subgradient methods minimize the objective over the nonconvex domain S d−1 .	On the sample complexity of parameter estimation in logistic regression with normal design
TCS-2072	However, we conjecture that sample splitting is not required for the guarantee in Corollary 7.	Optimistic Rates for Learning from Label Proportions
TCS-2073	We also leave open the question if the rate of convergence in Theorem 2.5 is optimal in the minimax sense.	Dimension-free Structured Covariance Estimation
TCS-2110	We conjecture that lowerbound is loose for p ∈ [1, 2), and one can obtain faster rates using some adaptation of the seminal Vovk-Azoury-Warmuth forecaster […]	Online Infinite-Dimensional Regression: Learning Linear Operators
TCS-2111	The existence of a fully-polynomial time algorithm remains open even for the special case of positive weights, where the best known algorithm (Diakonikolas and Kane, […]	Efficiently Learning One-Hidden-Layer ReLU Networks via SchurPolynomials
TCS-2115	Local SGD can dominate mini-batch SGD over the problem class PτH,Q,B,σ ∩ PζH,B,σ ⋆ in the regime when τ, QB ≪ H and σ, ζ⋆ […]	The Limits and Potentials of Local SGD for Distributed Heterogeneous Learning with Intermittent Communication
TCS-2147	We leave it as an open question to determine if one can match the sample complexity bounds we obtain from our reduction via proper metalearning.	Metalearning with Very Few Samples Per Task
