TCS-0022	One-way functions from NP hardness	Mathematics and Computation (2018 draft)
TCS-4765	Shared Randomness in Locally Checkable Problems: The Role of Computational Assumptions — Explicit open question on PDF page 5	Shared Randomness in Locally Checkable Problems: The Role of Computational Assumptions
TCS-4777	One-Wayness in Quantum Cryptography — Explicit open question on PDF page 3	One-Wayness in Quantum Cryptography
TCS-4786	Synergy Between Circuit Obfuscation and Circuit Minimization — Explicit open question on PDF page 3	Synergy Between Circuit Obfuscation and Circuit Minimization
TCS-4787	Lower Bounds for Secret-Sharing Schemes for k-Hypergraphs — Explicit open question on PDF page 2	Lower Bounds for Secret-Sharing Schemes for k-Hypergraphs
TCS-4803	Limits on the Power of Private Constrained PRFs — Explicit open question on PDF page 3	Limits on the Power of Private Constrained PRFs
TCS-4804	Secretary Matching Meets Probing with Commitment — Explicit open question on PDF page 15	Secretary Matching Meets Probing with Commitment
TCS-4805	Proofs of Useful Work from Arbitrary Matrix Multiplication (Invited Talk) — Unresolved-question passage on page 13	Proofs of Useful Work from Arbitrary Matrix Multiplication (Invited Talk)
TCS-4806	Hardness of KT Characterizes Parallel Cryptography — Unresolved-question passage on page 29	Hardness of KT Characterizes Parallel Cryptography
TCS-4818	Time-Space Tradeoffs for Finding Multi-Collisions in Merkle-Damgård Hash Functions — Explicit open question on PDF page 7	Time-Space Tradeoffs for Finding Multi-Collisions in Merkle-Damgård Hash Functions
TCS-4824	Efficient Signature-Free Validated Agreement — Unresolved-question passage on page 18	Efficient Signature-Free Validated Agreement
TCS-4825	Geometric Barriers for Stable and Online Algorithms for Discrepancy Minimization — Unresolved-question passage on page 10	Geometric Barriers for Stable and Online Algorithms for Discrepancy Minimization
TCS-4830	Kolmogorov Complexity Characterizes Statistical Zero Knowledge — Unresolved-question passage on page 16	Kolmogorov Complexity Characterizes Statistical Zero Knowledge
TCS-4838	UFOs: A Very Efficient Multivariate Public Key Signature Scheme — Unresolved-question passage on page 43	UFOs: A Very Efficient Multivariate Public Key Signature Scheme
TCS-4839	Lower Bounds for PIR with Preprocessing from Blackbox Cryptography — Unresolved-question passage on page 41	Lower Bounds for PIR with Preprocessing from Blackbox Cryptography
TCS-4840	Cohomology in Constraint Satisfaction and Structure Isomorphism — Question 14	Cohomology in Constraint Satisfaction and Structure Isomorphism
TCS-4853	Proofs of Space with Maximal Hardness — Explicit open question on PDF page 2	Proofs of Space with Maximal Hardness
TCS-4854	Boosting SNARKs and Rate-1 Barrier in Arguments of Knowledge — Unresolved-question passage on page 9	Boosting SNARKs and Rate-1 Barrier in Arguments of Knowledge
TCS-4901	Doubly-Affine Extractors, and Their Applications — Open Problem 1	Doubly-Affine Extractors, and Their Applications
TCS-4910	A Hash Table Without Hash Functions, and How to Get the Most Out of Your Random Bits — Explicit open question on PDF page 6	A Hash Table Without Hash Functions, and How to Get the Most Out of Your Random Bits
TCS-4911	Randomness Extraction in AC0 and with Small Locality — Unresolved-question passage on page 13	Randomness Extraction in AC0 and with Small Locality
TCS-4946	Characterizing Off-Chain Influence Proof Transaction Fee Mechanisms — Explicit open question on PDF page 2	Characterizing Off-Chain Influence Proof Transaction Fee Mechanisms
TCS-4947	Multiparty Karchmer - Wigderson Games and Threshold Circuits — Unresolved-question passage on page 23	Multiparty Karchmer - Wigderson Games and Threshold Circuits
TCS-4972	Backdoor Defense, Learnability and Obfuscation — Unresolved-question passage on page 13	Backdoor Defense, Learnability and Obfuscation
TCS-4973	How Pinball Wizards Simulate a Turing Machine — Unresolved-question passage on page 16	How Pinball Wizards Simulate a Turing Machine
TCS-4974	Detecting and Correcting Computationally Bounded Errors: A Simple Construction Under Minimal Assumptions — Explicit open question on PDF page 6	Detecting and Correcting Computationally Bounded Errors: A Simple Construction Under Minimal Assumptions
TCS-4975	Witness Encryption and NP-Hardness of Learning — Explicit open question on PDF page 7	Witness Encryption and NP-Hardness of Learning
TCS-4988	An Oracle with no UP-Complete Sets, but NP = PSPACE — Explicit open question on PDF page 3	An Oracle with no UP-Complete Sets, but NP = PSPACE
TCS-5013	Exponential Correlated Randomness Is Necessary in Communication-Optimal Perfectly Secure Two-Party Computation — Explicit open question on PDF page 2	Exponential Correlated Randomness Is Necessary in Communication-Optimal Perfectly Secure Two-Party Computation
TCS-5014	Online Mergers and Applications to Registration-Based Encryption and Accumulators — Explicit open question on PDF page 5	Online Mergers and Applications to Registration-Based Encryption and Accumulators
TCS-5015	On the Computational Hardness Needed for Quantum Cryptography — Explicit open question on PDF page 1	On the Computational Hardness Needed for Quantum Cryptography
TCS-5039	Locality-Preserving Hashing for Shifts with Connections to Cryptography — Explicit open question on PDF page 20	Locality-Preserving Hashing for Shifts with Connections to Cryptography
