source_url,collection,source_title,years,entry_count
https://doi.org/10.4230/DagRep.13.8.1,Dagstuhl Reports,Recent Trends in Graph Decomposition,2023,1
https://doi.org/10.4230/DagRep.13.8.106,Dagstuhl Reports,Algorithms and Complexity for Continuous Problems,2023,4
https://doi.org/10.4230/DagRep.14.1.49,Dagstuhl Reports,"Representation, Provenance, and Explanations in Database Theory and Logic",2024,2
https://doi.org/10.4230/DagRep.14.10.1,Dagstuhl Reports,"New Tools in Parameterized Complexity: Paths, Cuts, and Decomposition",2024,1
https://doi.org/10.4230/DagRep.14.11.92,Dagstuhl Reports,Graph Algorithms: Distributed Meets Dynamic,2024,3
https://doi.org/10.4230/DagRep.14.2.120,Dagstuhl Reports,Triangulations in Geometry and Topology,2024,11
https://doi.org/10.4230/DagRep.14.2.206,Dagstuhl Reports,Applied and Combinatorial Topology,2024,7
https://doi.org/10.4230/DagRep.14.3.31,Dagstuhl Reports,Logics for Dependence and Independence: Expressivity and Complexity,2024,1
https://doi.org/10.4230/DagRep.14.9.145,Dagstuhl Reports,"Fair Division: Algorithms, Solution Concepts, and Applications",2024,6
https://doi.org/10.4230/DagRep.15.1.105,Dagstuhl Reports,Solving Problems on Graphs: From Structure to Algorithms,2025,5
https://doi.org/10.4230/DagRep.15.11.114,Dagstuhl Reports,Online Algorithms beyond Competitive Analysis,2025,2
https://doi.org/10.4230/DagRep.15.2.158,Dagstuhl Reports,Estimation-of-Distribution Algorithms: Theory and Applications,2025,1
https://doi.org/10.4230/DagRep.15.2.89,Dagstuhl Reports,"Semirings in Databases, Automata, and Logic",2025,4
https://doi.org/10.4230/DagRep.15.3.159,Dagstuhl Reports,Approximation Algorithms for Stochastic Optimization,2025,6
https://doi.org/10.4230/DagRep.15.3.56,Dagstuhl Reports,Computational Complexity of Discrete Problems,2025,2
https://doi.org/10.4230/DagRep.15.5.1,Dagstuhl Reports,Adaptive and Scalable Data Structures,2025,10
https://doi.org/10.4230/DagRep.15.5.134,Dagstuhl Reports,Metric Sketching and Dynamic Algorithms for Geometric and Topological Graphs,2025,9
https://doi.org/10.4230/DagRep.15.5.64,Dagstuhl Reports,Computational Geometry,2025,7
https://doi.org/10.4230/DagRep.15.8.29,Dagstuhl Reports,Frontiers of Parameterized Algorithmics of Matching under Preferences,2025,1
https://doi.org/10.4230/DagRep.15.9.21,Dagstuhl Reports,Precision in Geometric Algorithms,2025,5
https://doi.org/10.4230/DagRep.15.9.58,Dagstuhl Reports,Quantum Error Correction Meets ZX-Calculus,2025,3
