0914 Deterministic min-cost matching with delays | Scheduling
5853 Tilt Assembly: Algorithms for Micro-Factories that Build Objects with Uniform External Forces — Unresolved-question passage on page 11 / How can we optimize the total makespan for constructing a shape? | Tilt Assembly: Algorithms for Micro-Factories that Build Objects with Uniform External Forces
5854 Mixed-Criticality Scheduling to Minimize Makespan — Explicit open question on PDF page 3 / To our knowledge, the precise computational complexity of determining the minimum makespan under preemptive scheduling remains open. | Mixed-Criticality Scheduling to Minimize Makespan
5898 Freeze-Tag with Return — Unresolved-question passage on page 13 / In general, we conjecture that the optimal makespan of worst-case instances ? of both introduced problems, i.e., the wake-up return constants, never exceeds 2 ` […] | Freeze-Tag with Return
5899 Hardness, Tractability and Density Thresholds of Finite Pinwheel Scheduling Variants — Unresolved-question passage on page 13 / Although we showed that 2-Visits admits the equivalent of a randomized XP algorithm parameterized by the number of numbers, it still remains open whether it […] | Hardness, Tractability and Density Thresholds of Finite Pinwheel Scheduling Variants
5979 Polyamorous Scheduling — Unresolved-question passage on page 15 / In the appendix, available online, we conjecture that further analysis of the SAT reduction originally used to prove Theorem 3 may demonstrate better inapproximability results […] | Polyamorous Scheduling
6044 Online Packing of Orthogonal Polygons — Explicit open question on PDF page 15 / This includes the problem of determining the best competitive ratio for online bin packing of L-shapes, as it remains open whether it it possible to […] | Online Packing of Orthogonal Polygons
6077 Weighted Chairman Assignment and Flow-Time Scheduling — Explicit open question on PDF page 4 / The weighted carpooling problem, which remains open, can also be viewed as a special case of Conjecture 6 using a similar construction that connects terminal […] | Weighted Chairman Assignment and Flow-Time Scheduling
6078 Hardness and Fixed Parameter Tractability for Pinwheel Scheduling Problems — Explicit open question on PDF page 2 / It has been shown in [12, Corollary 2.2] that Pinwheel Packing is in PSPACE; however, it is unknown whether this problem is in NP. | Hardness and Fixed Parameter Tractability for Pinwheel Scheduling Problems
6099 Complexity of Scheduling Few Types of Jobs on Related and Unrelated Machines — Explicit open question on PDF page 8 / O(k2 ) It is an open problem whether the pmax parameter dependence can be improved: even in the setting with short jobs where pmax ≤ […] | Complexity of Scheduling Few Types of Jobs on Related and Unrelated Machines
6123 Robust Appointment Scheduling with Heterogeneous Costs — Unresolved-question passage on page 14 / As we mentioned earlier, the computational complexity of RASO-H and more P generally, 1|| wj f (Cj ) with concave cost function f , remains […] | Robust Appointment Scheduling with Heterogeneous Costs
6172 The Variance-Penalized Stochastic Shortest Path Problem — Unresolved-question passage on page 17 / Further possible directions of research include the investigation of the following multiobjective threshold problem: Given η and ν, is there a scheduler with expectation at […] | The Variance-Penalized Stochastic Shortest Path Problem
6638P Breaking factor 2 for unrelated-machine makespan | Research reference · arXiv 2307.08453
6639P Constant-factor approximation for general Santa Claus allocation | Research reference · arXiv 2307.08453
6640P Constant additive error for one-dimensional bin packing | Research reference · drops.dagstuhl.de
6676P Breaking factor two for precedence-constrained makespan | Hardness of Precedence Constrained Scheduling on Identical Machines — Ola Svensson
